Serial Number,Category,State/UT,Year,Crime Count,Population (in lakhs),Crime Rate
5,State,Chhattisgarh,2009,51370,241.6,212.6241722
31,Union Territory,D & N Haveli,2009,442,2.75,160.7272727
32,Union Territory,Daman & Diu,2009,276,1.94,142.2680412
33,Union Territory,Delhi,2009,50251,177.82,282.5947587
6,State,Goa,2009,3005,16.91,177.7054997
7,State,Gujarat,2009,115183,574.37,200.5379807
8,State,Haryana,2009,56229,242.43,231.9391164
9,State,Himachal Pradesh,2009,13315,66.29,200.8598582
10,State,Jammu & Kashmir,2009,21975,129.09,170.230072
11,State,Jharkhand,2009,37436,305.44,122.5641697
12,State,Karnataka,2009,134042,582.04,230.2968868
13,State,Kerala,2009,118369,346.62,341.4950089
33,Union Territory,Lakshadweep,2009,134,0.71,188.7323944
14,State,Madhya Pradesh,2009,207762,708.98,293.0435273
15,State,Maharashtra,2009,199598,1087.01,183.6211258
16,State,Manipur,2009,2852,26.71,106.7764882
17,State,Meghalaya,2009,2448,25.77,94.99417928
18,State,Mizoram,2009,2047,9.96,205.5220884
19,State,Nagaland,2009,1059,22.23,47.63832659
20,State,Odisha,2009,55740,404.33,137.8576905
34,Union Territory,Puducherry,2009,4591,10.97,418.5050137
21,State,Punjab,2009,35545,269.81,131.7408547
22,State,Rajasthan,2009,166565,660.56,252.1572605
23,State,Sikkim,2009,669,6.04,110.7615894
24,State,Tamil Nadu,2009,174691,671.06,260.3209847
25,State,Tripura,2009,5486,35.67,153.7987104
26,State,Uttar Pradesh,2009,172884,1955.22,88.42176328
27,State,Uttarakhand,2009,8802,96.81,90.92035947
28,State,West Bengal,2009,113036,892.13,126.7035073
29,Union Territory,A & N Islands,2010,980,4.32,226.8518519
1,State,Andhra Pradesh,2010,181438,841.29,215.6664171
2,State,Arunachal Pradesh,2010,2439,12.35,197.4898785
3,State,Assam,2010,61668,309.78,199.070308
4,State,Bihar,2010,127453,971.84,131.1460734
30,Union Territory,Chandigarh,2010,3373,11.25,299.8222222
