STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,HURT/GREVIOUS HURT,TOTAL IPC CRIMES
HARYANA,2006,873,585,608,635,104,410,10518,5135,50509
HIMACHAL PRADESH,2006,111,78,113,130,7,29,812,1261,13093
JAMMU & KASHMIR,2006,487,854,250,789,10,112,1937,376,20787
JHARKHAND,2006,1492,1078,799,635,536,779,6173,3055,36364
KARNATAKA,2006,1627,1484,400,563,202,1349,14901,19488,117710
KERALA,2006,393,347,601,294,129,691,5431,19105,105255
MADHYA PRADESH,2006,2309,2370,2900,808,151,1770,21733,34709,194711
MAHARASHTRA,2006,2656,1680,1500,1261,663,2574,46473,29407,191788
MANIPUR,2006,205,265,40,130,2,8,290,296,2884
MEGHALAYA,2006,157,42,74,57,57,65,470,138,1935
MIZORAM,2006,25,19,72,6,7,10,758,72,2073
NAGALAND,2006,123,46,23,31,16,84,327,50,1103
ODISHA,2006,1159,752,985,704,239,1184,6567,6226,52792
PUNJAB,2006,817,898,442,591,35,142,3946,5104,32068
RAJASTHAN,2006,1209,1694,1085,1970,37,631,17889,21296,141992
SIKKIM,2006,21,16,20,8,0,9,113,96,703
TAMIL NADU,2006,1363,1599,457,906,95,450,13651,14067,148972
TRIPURA,2006,154,52,189,105,18,71,392,464,3940
UTTAR PRADESH,2006,5480,4997,1314,3318,218,2024,20447,10412,127001
UTTARAKHAND,2006,274,215,147,212,31,157,1696,854,8412
WEST BENGAL,2006,1425,672,1731,1355,177,426,12532,6299,68052
A & N ISLANDS,2006,4,4,6,5,0,5,101,78,676
CHANDIGARH,2006,12,21,19,65,1,34,1234,55,3126
D & N HAVELI,2006,9,0,6,18,5,5,61,35,435
DAMAN & DIU,2006,6,3,3,3,8,1,63,18,288
LAKSHADWEEP,2006,0,2,0,0,0,0,17,5,80
PUDUCHERRY,2006,30,24,9,18,2,3,560,927,4687
ANDHRA PRADESH,2007,2665,1885,1070,2097,170,614,24391,46122,175087
ARUNACHAL PRADESH,2007,68,29,48,68,16,75,513,375,2286
ASSAM,2007,1374,451,1437,1971,299,496,7754,5175,45282
BIHAR,2007,3034,3113,1555,2530,686,1787,11795,16288,109420
CHHATTISGARH,2007,1097,747,982,244,115,427,5381,6801,45845
GOA,2007,33,23,20,12,7,22,494,150,2479
GUJARAT,2007,1166,494,316,1312,245,1095,18164,10989,123195
HARYANA,2007,911,592,488,801,139,502,11047,5031,51597
HIMACHAL PRADESH,2007,127,57,159,171,5,23,1092,1318,14222
JAMMU & KASHMIR,2007,318,669,288,758,18,111,2086,374,21443
JHARKHAND,2007,1617,1076,855,762,524,771,7091,3783,38489
KARNATAKA,2007,1538,1251,436,680,178,1313,14351,18963,120606
KERALA,2007,367,402,512,255,121,869,5609,18975,108530
MADHYA PRADESH,2007,2244,2423,3010,922,143,1975,22396,36643,202386
MAHARASHTRA,2007,2693,1615,1451,1312,716,2770,47681,29622,195707
MANIPUR,2007,240,377,20,150,3,11,454,377,3259
MEGHALAYA,2007,114,49,82,52,55,56,500,124,2079
MIZORAM,2007,43,21,83,4,0,5,808,85,2083
NAGALAND,2007,111,50,13,17,7,75,360,52,1180
ODISHA,2007,1210,1105,939,801,247,1273,6830,7478,54872
PUNJAB,2007,760,893,519,760,37,138,5173,5663,35793
RAJASTHAN,2007,1303,1772,1238,2177,71,778,19345,19720,148870
SIKKIM,2007,9,14,24,9,0,6,118,95,667
TAMIL NADU,2007,1633,2078,523,1270,88,495,13217,16967,172754
TRIPURA,2007,138,58,157,113,14,64,411,546,4273
UTTAR PRADESH,2007,5000,4424,1648,4478,437,2169,22816,10694,150258
UTTARAKHAND,2007,268,228,117,253,46,173,1593,886,9599
WEST BENGAL,2007,1652,877,2106,1800,146,427,13747,6909,81102
A & N ISLANDS,2007,15,19,3,12,5,9,112,99,807
CHANDIGARH,2007,19,26,22,52,2,37,1740,78,3643
D & N HAVELI,2007,10,2,7,9,1,3,87,25,425
DAMAN & DIU,2007,12,7,1,1,3,2,43,20,260
LAKSHADWEEP,2007,0,2,1,0,0,0,20,0,56
PUDUCHERRY,2007,34,42,9,20,1,8,787,904,5054
ANDHRA PRADESH,2008,2690,1942,1257,1970,110,623,25362,48167,179275
ARUNACHAL PRADESH,2008,72,37,42,79,14,79,445,479,2374
ASSAM,2008,1426,417,1438,2239,312,568,8012,6107,53333
BIHAR,2008,3139,2954,1302,3047,686,1592,13206,16644,122669
CHHATTISGARH,2008,1169,736,978,273,124,500,6079,8565,51442
GOA,2008,49,25,30,36,3,23,601,185,2742
GUJARAT,2008,1106,487,374,1323,256,1322,20715,10897,123808
HARYANA,2008,921,616,631,854,120,555,12709,4504,55344
HIMACHAL PRADESH,2008,129,59,157,151,6,20,1152,1258,13976
JAMMU & KASHMIR,2008,237,570,219,704,3,67,2198,273,20604
JHARKHAND,2008,1697,1061,791,792,416,761,7269,2826,38686
KARNATAKA,2008,1698,1475,446,758,270,1615,17820,19159,127540
KERALA,2008,362,434,568,253,91,816,5818,19178,110620
MADHYA PRADESH,2008,2322,2282,2937,929,160,2234,24583,36344,206556
MAHARASHTRA,2008,2795,1837,1558,1379,811,3031,52860,29742,206243
MANIPUR,2008,187,498,38,176,1,7,446,301,3349
MEGHALAYA,2008,126,55,88,56,63,65,669,204,2318
