STATE/UT,DISTRICT,YEAR,lab_scal_st,lab_scal_dist,scal_yr,scal_murder,scal_attempt_murder,cal_rape,scal_kidnap,scal_dacoity,scal_robb,scal_theft,scal_hurt
BIHAR,KHAGARIA,2001,-1.41594508,-0.027118101,-1.626894023,0.588874376,-0.275601603,-0.738486555,-0.133956984,-0.083182855,0.002388766,-0.412443651,-0.692011301
BIHAR,KISHANGANJ,2001,-1.41594508,0.037458464,-1.626894023,-0.510455194,-0.512817007,-0.188254737,-0.330179201,1.104577342,-0.370640063,-0.449683986,-0.693798449
BIHAR,LAKHISARAI,2001,-1.41594508,0.201052432,-1.626894023,0.331584477,0.060453551,-0.576653667,-0.205310517,0.190915652,-0.311740774,-0.421432698,-0.684862708
BIHAR,MADHEPURA,2001,-1.41594508,0.261323893,-1.626894023,0.214634522,-0.354673405,-0.54428709,0.133618766,0.921845004,0.041654958,-0.434274192,-0.693798449
BIHAR,MADHUBANI,2001,-1.41594508,0.265628998,-1.626894023,-0.276555286,0.475580507,-0.479553935,-0.098280217,1.561408187,-0.233208389,-0.397033858,0.398149027
BIHAR,MOTIHARI,2001,-1.41594508,0.416307652,-1.626894023,1.571253992,1.127922867,0.523809968,1.043376318,2.109605201,0.984043579,-0.174876002,-0.500786456
BIHAR,MUNGER,2001,-1.41594508,0.442138278,-1.626894023,0.097684568,1.325602369,-0.54428709,0.062265233,-0.083182855,0.002388766,-0.32126904,-0.391770424
BIHAR,MUZAFFARPUR,2001,-1.41594508,0.455053591,-1.626894023,2.483463636,2.393071685,1.462440716,1.275275301,2.292337539,2.083496969,0.167991903,-0.516870789
BIHAR,MUZAFFARPUR RLY.,2001,-1.41594508,0.459358696,-1.626894023,-0.791135085,-0.75003241,-0.835586287,-0.651270101,-0.265915193,-0.272474582,-0.120941725,-0.606228193
BIHAR,NALANDA,2001,-1.41594508,0.511019948,-1.626894023,3.769913133,4.112883359,0.394343658,1.507174285,4.02829475,1.337439311,0.006189072,0.391000434
BIHAR,NAUGACHIA,2001,-1.41594508,0.558376097,-1.626894023,-0.253165295,0.475580507,-0.6737534,-0.223148901,0.739112666,-0.213575293,-0.481787722,-0.608015341
BIHAR,NAWADAH,2001,-1.41594508,0.57129141,-1.626894023,0.70582433,0.258133054,-0.41482078,0.008750083,0.830478835,0.041654958,-0.43812664,-0.196971283
BIHAR,PATNA,2001,-1.41594508,0.730580273,-1.626894023,9.056051067,10.67584285,-0.02642185,2.773699503,7.68294151,7.561130824,1.490665844,-0.068296622
BIHAR,PATNA RLY.,2001,-1.41594508,0.734885377,-1.626894023,-0.533845185,-0.394209305,-0.867952865,-0.686946868,1.013211173,-0.154676004,0.518564705,-0.700947041
BIHAR,PURNEA,2001,-1.41594508,0.82529257,-1.626894023,1.337354084,0.950011314,0.361977081,0.401194517,6.221082806,1.337439311,-0.231378578,-0.638396858
BIHAR,ROHTAS,2001,-1.41594508,0.984581432,-1.626894023,1.875323873,1.40467417,-0.091155005,0.543901584,6.495181313,0.76807952,-0.115805127,0.142586852
BIHAR,SAHARSA,2001,-1.41594508,1.019022267,-1.626894023,-0.253165295,2.175624231,-0.511920512,-0.258825667,-0.357281362,-0.272474582,-0.450968135,-0.291690131
BIHAR,SAMASTIPUR,2001,-1.41594508,1.040547789,-1.626894023,1.407524056,1.463978021,-0.28535447,0.597416734,2.383703708,0.630647846,-0.205695589,-0.245224281
BIHAR,SARAN,2001,-1.41594508,1.07068352,-1.626894023,2.109223782,0.574420259,-0.252987892,0.4190329,5.672885792,1.258906926,-0.206979738,0.868168971
BIHAR,SHEIKHPURA,2001,-1.41594508,1.135260086,-1.626894023,-0.440285222,-0.789568311,-0.80321971,-0.455047884,0.830478835,-0.331373871,-0.408591203,-0.690224152
BIHAR,SHEOHAR,2001,-1.41594508,1.139565191,-1.626894023,-0.67418513,-0.809336261,-0.54428709,-0.508563034,0.008183314,-0.409906256,-0.502334113,-0.700947041
BIHAR,SITAMARHI,2001,-1.41594508,1.242887696,-1.626894023,0.097684568,-0.71049651,-0.15588816,-0.133956984,1.561408187,-0.272474582,-0.353372776,-0.649119747
BIHAR,SIWAN,2001,-1.41594508,1.255803009,-1.626894023,1.618033974,2.155856281,-0.770853132,0.169295533,3.480097736,1.3963386,-0.379055765,-0.616951081
BIHAR,SUPAUL,2001,-1.41594508,1.367735724,-1.626894023,-0.136215341,0.396508706,0.070677883,-0.276664051,2.20097137,0.218352825,-0.357225225,-0.700947041
BIHAR,VAISHALI,2001,-1.41594508,1.604516466,-1.626894023,1.477694029,2.116320381,-0.252987892,0.864992484,1.378675849,0.277252113,-0.186433347,0.078249521
CHHATTISGARH,BALRAMPUR,2001,-1.220607053,-1.490853597,-1.626894023,-0.791135085,-0.76980036,-0.350087625,-0.722623635,0.921845004,-0.351006967,-0.495913366,-0.647332599
CHHATTISGARH,BILASPUR,2001,-1.220607053,-1.279903482,-1.626894023,1.220404129,0.020917651,1.332974406,-0.383694351,-0.265915193,0.159453536,0.363182621,0.401723323
CHHATTISGARH,BIZAPUR,2001,-1.220607053,-1.266988168,-1.626894023,-0.884695048,-0.552352907,-0.770853132,-0.740462018,-0.448647531,-0.449172448,-0.519028056,-0.681288412
CHHATTISGARH,DANTEWARA,2001,-1.220607053,-0.961325756,-1.626894023,0.846164276,-0.077922101,-0.28535447,-0.544239801,0.008183314,-0.468805544,-0.440694939,-0.493637864
CHHATTISGARH,DHAMTARI,2001,-1.220607053,-0.89674919,-1.626894023,-0.767745094,-0.690728559,-0.188254737,-0.669108485,-0.448647531,-0.566971026,-0.381624064,-0.473979235
CHHATTISGARH,DURG,2001,-1.220607053,-0.806341998,-1.626894023,0.68243434,0.495348458,3.760467719,0.276325833,0.190915652,0.414683787,0.62386496,0.362406065
CHHATTISGARH,GRP RAIPUR,2001,-1.220607053,-0.57386636,-1.626894023,-1.048424984,-0.789568311,-0.900319442,-0.740462018,-0.448647531,-0.390273159,-0.269903062,-0.686649856
CHHATTISGARH,JAGDALPUR,2001,-1.220607053,-0.371526453,-1.626894023,0.775994303,-0.117458001,1.009308631,-0.633431718,-0.448647531,-0.115409812,-0.302006798,-0.314923056
CHHATTISGARH,JANJGIR,2001,-1.220607053,-0.263898843,-1.626894023,0.027514596,-0.236065703,0.038311305,-0.579916568,-0.448647531,-0.076143619,-0.218537083,0.29270729
CHHATTISGARH,JASHPUR,2001,-1.220607053,-0.259593739,-1.626894023,-0.229775304,-0.493049057,0.264877348,-0.704785251,-0.174549024,-0.233208389,-0.453536434,-0.525806529
CHHATTISGARH,KANKER,2001,-1.220607053,-0.134745711,-1.626894023,-0.370115249,-0.473281106,0.459076813,-0.669108485,-0.357281362,-0.468805544,-0.454820583,-0.565123787
CHHATTISGARH,KAWARDHA,2001,-1.220607053,-0.040033415,-1.626894023,-0.650795139,-0.572120858,0.23251077,-0.722623635,-0.5400137,-0.527704833,-0.467662078,-0.402493312
CHHATTISGARH,KORBA,2001,-1.220607053,0.106340135,-1.626894023,-0.323335267,-0.552352907,0.588543123,-0.508563034,-0.631379869,-0.409906256,-0.13121492,0.219434219
CHHATTISGARH,KORIYA,2001,-1.220607053,0.110645239,-1.626894023,-0.276555286,-0.315137504,0.200144193,-0.615593335,-0.357281362,-0.449172448,-0.326405638,-0.409641904
CHHATTISGARH,MAHASAMUND,2001,-1.220607053,0.28715452,-1.626894023,-0.67418513,-0.413977255,0.491443391,-0.615593335,-0.448647531,-0.449172448,-0.335394684,-0.389983275
CHHATTISGARH,RAIGARH,2001,-1.220607053,0.851123196,-1.626894023,0.074294577,-0.334905454,0.815109166,-0.633431718,-0.448647531,-0.311740774,-0.300722649,-0.205907023
CHHATTISGARH,RAIPUR,2001,-1.220607053,0.876953822,-1.626894023,1.056674193,1.206994668,2.465804619,-0.062603451,0.282281821,0.571748557,0.700913928,1.549072389
CHHATTISGARH,RAJNANDGAON,2001,-1.220607053,0.902784449,-1.626894023,-0.253165295,-0.275601603,0.976942053,-0.669108485,-0.357281362,-0.272474582,-0.22624198,-0.447172014
CHHATTISGARH,SARGUJA,2001,-1.220607053,1.074988625,-1.626894023,1.360744075,0.020917651,3.792834296,-0.437209501,0.37364799,0.257619017,-0.119657575,-0.111188175
GOA,NORTH GOA,2001,-0.829930998,0.618647558,-1.626894023,-0.580625167,-0.493049057,-0.770853132,-0.669108485,-0.174549024,-0.370640063,-0.149193013,-0.53474227
GOA,SOUTH GOA,2001,-0.829930998,1.298854053,-1.626894023,-0.767745094,-0.532584957,-0.641386822,-0.651270101,-0.448647531,-0.272474582,-0.156897909,-0.556188047
GUJARAT,AHMEDABAD COMMR.,2001,-0.732261984,-1.71902413,-1.626894023,1.009894212,0.337204855,0.361977081,1.810426802,1.013211173,3.202583455,4.084647747,1.642004089
GUJARAT,AHMEDABAD RURAL,2001,-0.732261984,-1.714719026,-1.626894023,-0.487065203,-0.473281106,-0.738486555,-0.258825667,0.739112666,-0.076143619,-0.233946877,0.160458332
GUJARAT,AHWA-DANG,2001,-0.732261984,-1.706108817,-1.626894023,-0.954865021,-0.809336261,-0.867952865,-0.704785251,-0.631379869,-0.547337929,-0.512607309,-0.643758302
GUJARAT,AMRELI,2001,-0.732261984,-1.637227147,-1.626894023,-0.136215341,-0.591888808,-0.835586287,-0.044765067,-0.265915193,-0.076143619,-0.267334763,-0.052212289
GUJARAT,ANAND,2001,-0.732261984,-1.624311834,-1.626894023,-0.440285222,-0.493049057,-0.80321971,-0.205310517,0.282281821,-0.292107678,0.025451313,0.364193213
GUJARAT,BHARUCH,2001,-0.732261984,-1.344480048,-1.626894023,-0.229775304,-0.532584957,-0.770853132,-0.044765067,0.556380328,-0.233208389,-0.024630515,-0.012895031
GUJARAT,BHAVNAGAR,2001,-0.732261984,-1.335869839,-1.626894023,0.401754449,-0.255833653,-0.609020245,0.329840983,-0.174549024,0.375417595,0.197527341,-0.522232233
GUJARAT,DAHOD,2001,-0.732261984,-0.982851278,-1.626894023,-0.253165295,-0.651192659,-0.738486555,-0.472886268,1.378675849,0.29688521,-0.36878257,0.003189302
GUJARAT,GANDHINAGAR,2001,-0.732261984,-0.668578657,-1.626894023,-0.510455194,-0.591888808,-0.770853132,-0.472886268,0.647746497,-0.135042908,0.228346928,0.067526632
GUJARAT,HIMATNAGAR,2001,-0.732261984,-0.470543855,-1.626894023,0.191244532,-0.631424709,-0.350087625,-0.187472134,1.470042018,0.002388766,-0.277607958,-0.062935177
GUJARAT,JAMNAGAR,2001,-0.732261984,-0.285424365,-1.626894023,0.027514596,-0.275601603,-0.252987892,-0.258825667,-0.448647531,-0.174309101,0.157718708,0.046080855
GUJARAT,JUNAGADH,2001,-0.732261984,-0.186406964,-1.626894023,0.214634522,-0.077922101,-0.447187357,0.080103616,-0.265915193,0.45394998,0.179549248,0.265900069
GUJARAT,KHEDA NORTH,2001,-0.732261984,0.007322734,-1.626894023,-0.11282535,-0.71049651,-0.54428709,-0.205310517,0.190915652,-0.193942197,-0.063154999,0.142586852
GUJARAT,KUTCH,2001,-0.732261984,0.17952691,-1.626894023,-0.299945277,-0.236065703,-0.835586287,-0.312340818,0.099549483,-0.351006967,-0.128646621,0.133651111
