State/UT,Murders,Kidnapping,Crimes_against_children,Crimes_against_senior_citizen,Crimes_against_women,Corruption,Total_Crimes,Cyber_Crime,Year
Maharashtra,2163,8103,14371,4909,31954,664,539003,5496,2020
Manipur,46,81,125,7,247,9,2986,79,2020
Meghalaya,79,91,415,3,568,8,3744,142,2020
Mizoram,28,3,142,8,172,0,2289,13,2020
Nagaland,25,24,31,11,39,4,1511,8,2020
Odisha,1470,4179,6330,326,25489,245,134230,1931,2020
Punjab,757,1399,2121,289,4838,143,82875,378,2020
Rajasthan,1719,6234,6580,648,34535,363,260378,1354,2020
Sikkim,11,32,147,2,140,0,675,0,2020
Tamil Nadu,1661,765,4338,1581,6630,304,1377681,782,2020
Telangana,802,2056,4200,1575,17791,84,147504,5024,2020
Tripura,114,127,260,13,874,0,4653,34,2020
Uttar Pradesh,3779,12913,15271,353,49385,62,657925,11097,2020
Uttarakhand,160,768,1066,4,2846,14,57332,243,2020
West Bengal,1948,9309,10248,344,36439,11,182367,712,2020
TOTAL STATE ( S ),28493,79709,122064,23810,357363,3031,6291485,49708,2020
A & N Islands,5,7,141,17,143,2,2542,5,2020
Chandigarh,22,118,209,43,301,5,3254,17,2020
D & N Haveli and Daman & Diu,13,21,67,0,61,0,533,3,2020
Delhi,472,4062,5362,919,10093,12,266070,168,2020
Jammu & Kashmir,149,868,606,5,3405,71,28911,120,2020
Ladakh,0,0,2,0,9,0,403,1,2020
Lakshadweep,0,1,9,0,15,0,147,3,2020
Puducherry,39,19,71,0,113,2,7940,10,2020
TOTAL UT ( S ),700,5096,6467,984,14140,92,309800,327,2020
TOTAL ALL INDIA,29193,84805,128531,24794,371503,3123,6601285,50035,2020
Andhra Pradesh,956,835,2669,1818,17752,95,222199,1875,2021
Arunachal Pradesh,49,85,162,8,366,12,3039,47,2021
Assam,1192,7580,5282,5,29046,16,133239,4846,2021
Bihar,2799,10198,6894,150,17950,81,282083,1413,2021
Chhattisgarh,1007,2681,6001,1408,7344,26,110633,352,2021
Goa,26,52,151,50,224,3,2991,36,2021
Gujarat,1010,1621,4515,872,7348,173,731738,1536,2021
Haryana,1112,3554,5700,1056,16658,79,206431,622,2021
Himachal Pradesh,86,430,740,419,1599,42,18833,70,2021
Jharkhand,1573,1767,1867,32,8110,56,60765,953,2021
Karnataka,1357,2879,7261,1442,14468,360,163697,8136,2021
Kerala,337,364,4536,671,13539,122,524960,626,2021
Madhya Pradesh,2034,9511,19173,5273,30673,250,475918,589,2021
Maharashtra,2330,10502,17261,6190,39526,773,540800,5562,2021
Manipur,46,85,143,8,302,7,3204,67,2021
Meghalaya,80,123,481,3,685,0,3428,107,2021
Mizoram,24,2,122,5,176,4,3196,30,2021
Nagaland,27,48,51,8,54,1,1478,8,2021
Odisha,1394,5625,7899,210,31352,265,155420,2037,2021
Punjab,723,1787,2556,335,5662,162,73581,551,2021
Rajasthan,1786,7717,7653,363,40738,501,284569,1504,2021
Sikkim,14,39,149,2,130,4,728,0,2021
Tamil Nadu,1686,821,6064,1841,8501,423,756753,1076,2021
Telangana,1026,2760,5667,1952,20865,83,158809,10303,2021
Tripura,122,136,236,8,807,0,4788,24,2021
Uttar Pradesh,3717,14554,16838,423,56083,67,608082,8829,2021
Uttarakhand,208,819,1245,7,3431,10,34875,718,2021
West Bengal,1884,8339,9523,304,35884,8,181821,513,2021
TOTAL STATE ( S ),28605,94914,140839,24863,409273,3623,5748058,52430,2021
A & N Islands,16,7,124,14,169,6,1332,8,2021
Chandigarh,17,154,234,22,343,4,2995,15,2021
D & N Haveli and Daman & Diu,14,48,104,4,99,2,579,5,2021
Delhi,459,5527,7118,1167,14277,12,306389,356,2021
Jammu & Kashmir,136,1013,845,40,3937,94,31675,154,2021
Ladakh,5,4,1,0,18,0,559,5,2021
Lakshadweep,1,0,17,0,9,3,128,1,2021
Puducherry,19,40,122,0,153,1,4595,0,2021
TOTAL UT ( S ),667,6793,8565,1247,19005,122,348252,544,2021
TOTAL ALL INDIA,29272,101707,149404,26110,428278,3745,6096310,52974,2021
